Case_num	Status	Details
1990212910	Case Was Received	On March 18, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990212910, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 17, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212900	Case Was Received	On March 18, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990212900, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 17, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212890	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212890, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212880	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212880, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212870	Card Was Mailed To Me	On May 15, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212870, to the address you gave us.  If you do not receive your card by May 30, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212860	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212860, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212850	Card Was Mailed To Me	On May 14, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212850, to the address you gave us.  If you do not receive your card by May 29, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212840	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212840, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212830	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212830, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212820	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212820, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212810	Card Was Mailed To Me	On May 16, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212810, to the address you gave us.  If you do not receive your card by May 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212800	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212800, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212790	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212790, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212780	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212780, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212770	Card Was Mailed To Me	On May 16, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212770, to the address you gave us.  If you do not receive your card by May 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212760	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212760, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212750	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212750, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212740	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212740, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212730	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212730, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212720	Card Was Mailed To Me	On May 16, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212720, to the address you gave us.  If you do not receive your card by May 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212710	Card Was Mailed To Me	On May 14, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212710, to the address you gave us.  If you do not receive your card by May 29, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212700	Case Was Received	On March 18, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990212700, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 17, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212690	Case Was Received	On March 18, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990212690, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 17, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212680	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212680, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212670	Case Was Received	On March 15, 2019, we received your Form I-539, Application To Extend/Change Nonimmigrant Status, Receipt Number YSC1990212670, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212660	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212660, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212650	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212650, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212640	Case Was Received	On March 18, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990212640, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 17, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212630	Correspondence Was Received And USCIS Is Reviewing It	On April 3, 2019, we received your correspondence for Form I-130, Petition for Alien Relative, Receipt Number YSC1990212630. We are reviewing your correspondence, and will mail you a notice if we need something from you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212620	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212620, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212610	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212610, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212600	Case Was Received	On March 15, 2019, we received your Form I-539, Application To Extend/Change Nonimmigrant Status, Receipt Number YSC1990212600, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212590	Correspondence Was Received And USCIS Is Reviewing It	On May 24, 2019, we received your correspondence for Form I-130, Petition for Alien Relative, Receipt Number YSC1990212590. We are reviewing your correspondence, and will mail you a notice if we need something from you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212580	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212580, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212570	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212570, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212560	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212560, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212550	Case Was Received	On March 15, 2019, we received your Form I-539, Application To Extend/Change Nonimmigrant Status, Receipt Number YSC1990212550, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212540	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212540, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212530	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212530, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212520	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212520, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212510	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212510, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212500	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212500, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212490	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212490, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212480	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212480, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212470	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212470, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212460	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212460, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212450	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212450, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212440	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212440, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212430	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212430, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212420	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212420, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212410	Card Was Mailed To Me	On May 16, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212410, to the address you gave us.  If you do not receive your card by May 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212400	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212400, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212390	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212390, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212380	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212380, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212370	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212370, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212360	Correspondence Was Received And USCIS Is Reviewing It	On May 17, 2019, we received your correspondence for Form I-765, Application for Employment Authorization, Receipt Number YSC1990212360. We are reviewing your correspondence, and will mail you a notice if we need something from you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212350	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212350, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212340	Card Was Mailed To Me	On May 14, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212340, to the address you gave us.  If you do not receive your card by May 29, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212330	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212330, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212320	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212320, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212310	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212310, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212300	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212300, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212290	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212290, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212280	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212280, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212270	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212270, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212260	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212260, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212250	Card Was Mailed To Me	On May 14, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212250, to the address you gave us.  If you do not receive your card by May 29, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212240	Validation Error	My Case Status does not recognize the receipt number entered.
1990212230	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212230, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212220	Card Was Mailed To Me	On May 22, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212220, to the address you gave us.  If you do not receive your card by June 6, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212210	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212210, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212200	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212200, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212190	Case Was Received	On March 15, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990212190, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212180	Case Was Received	On March 15, 2019, we received your Form I-130, Petition for Alien Relative, Receipt Number YSC1990212180, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212170	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212170, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212160	Notice Was Returned To USCIS Because The Post Office Could Not Deliver It	On April 17, 2019, the Post Office returned a notice we sent you for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212160, because they could not deliver it. This could have a serious effect on your case. Please go to www.uscis.gov/e-request to request a copy of the notice immediately. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212150	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212150, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212140	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212140, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212130	Card Was Picked Up By The United States Postal Service	On May 28, 2019, the Post Office picked up mail containing your new card for Receipt Number YSC1990212130. We mailed your card to the address you gave us. The tracking number assigned is 9205590153708428274692. You can use your tracking number at www.USPS.com in the Quick Tools Tracking section. If you did not receive the card, please go to www.uscis.gov/e-request to request that we resend the card to you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212120	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212120, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212110	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212110, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212100	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212100, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
1990212090	Card Was Mailed To Me	On May 20, 2019, we mailed your new card for your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212090, to the address you gave us.  If you do not receive your card by June 4, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.
1990212080	Case Was Received	On March 15, 2019, we received your Form I-765, Application for Employment Authorization, Receipt Number YSC1990212080, and sent you the receipt notice that describes how we will process your case.  Please follow the instructions in the notice.  If you do not receive your receipt notice by April 14, 2019, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address.
